,player_number,flag,name,age,position,tall,weight,full_time,half_time,mins,goals,asists,yel,red,spg,ps_x,motm,aw,rating,tackles,inter,fouls,offsides,clear,drb,blocks,owng,keyp,fouled,off,disp,unstch,avgp,ps_y,crosses,longb,thrb,team_name
0,19380,br,Henrique,31, DMC,179,72,10,0.0,900,1,-,2,-,0.6,85.4,1,1.5,7.34,4,3.3,1.2,0.1,1.1,0.6,0.4,-,0.8,1.6,-,0.6,1,0.8,56.8,85.4,0.1,4.6,Cruzeiro
1,128627,uy,Giorgian de Arrascaeta,22, AM(CLR),172,67,9,0.0,751,4,2,1,-,3.2,74.2,2,1,7.25,2,0.3,1.2,-,0.2,0.7,0.2,-,1.7,1.9,-,1.7,3,1.7,37.4,74.2,1,2.1,Cruzeiro
2,130563,br,Mayke,23, D(R),178,68,1,1,111,-,1,1,-,0.5,91.3,-,0.5,7.21,2,1.5,1,-,2.5,1,0.5,-,1,-,-,1,1,1,23,91.3,1,1.5,Cruzeiro
3,41997,br,Robinho,28, M(CR),170,67,2,1,150,-,2,-,-,0.3,81.5,-,-,7.17,1,-,-,-,0.3,1,-,-,4.3,1,-,2.3,2,4.3,41.3,81.5,3,3.3,Cruzeiro
4,40669,br,Léo,28, D(C),184,81,2,0,180,-,-,1,-,2,82.1,-,4,7.15,1,3.5,1,-,4.5,0.5,0.5,-,0.5,0.5,-,-,-,0.5,47.5,82.1,0,5.5,Cruzeiro
5,40791,br,Bruno Rodrigo,31, D(C),184,73,8,0,714,1,-,2,-,1,80.6,1,3.6,7.02,1,3.1,1.1,0.5,4,0.8,0.8,-,0.4,0.6,-,0.1,0.5,0.4,44.5,80.6,0,3.4,Cruzeiro
6,94848,ar,Juan Sánchez Miño,26, DMC,177,78,4,0,360,-,2,1,-,0.8,84.1,-,1.3,6.92,1.8,0.8,1.5,-,1.8,1.3,-,-,2,1,-,1.3,2,2,58,84.1,2,1,Cruzeiro
7,107927,br,Elber,24, AM(CR),170,65,7,0,582,2,-,-,-,1.6,83.3,-,0.9,6.87,0.6,0.3,0.1,0.1,0.1,0.4,0.1,-,0.7,1.9,0.7,2.6,3,0.7,31.7,83.3,0.7,0.7,Cruzeiro
8,136616,,Bryan,24, D(L),176,72,5,0,419,-,-,-,1,0.8,69.9,-,2,6.77,2.2,2,1,0.4,2.6,0.6,-,-,0.4,0.8,-,1.2,2.6,0.4,36.6,69.9,1,1.4,Cruzeiro
9,130449,br,Alisson,22, AM(LR),174,71,4,2,353,2,-,1,-,1.7,77.5,-,0.3,6.76,2.5,0.7,1.2,-,0.2,0.8,-,-,1,1.5,0.3,1.3,1.8,1,23.7,77.5,0.7,0.8,Cruzeiro
10,289112,br,Bruno Viana,21, D(C),187,75,8,0,720,-,-,4,-,0.3,84.3,-,1.4,6.62,0.8,2.3,0.8,0.6,5.4,0.1,0.9,-,-,0.1,-,0.3,1.6,0,42.1,84.3,0,3.6,Cruzeiro
11,317679,ar,Matías Pisano,24, Midfielder,166,61,2,1,128,-,-,-,-,1,82.1,-,0.3,6.56,1.3,0.3,1.3,-,-,0.3,-,-,0.7,0.7,0.7,0.7,0.7,0.7,31.7,82.1,0.7,1,Cruzeiro
12,125297,,Lucas Romero,22, DMC,172,70,6,0,523,-,-,1,2,0.8,85.7,-,1,6.55,3.8,1.7,1.8,-,0.7,3,0.3,-,0.5,0.5,-,1.5,2.5,0.5,41.8,85.7,0.2,2.5,Cruzeiro
13,296079,,Federico Gino,23, Midfielder,173,74,2,0,136,-,-,-,-,1,83.3,-,2,6.53,3,0.5,1,-,0.5,-,-,-,0.5,-,-,-,2,0.5,42,83.3,0,2,Cruzeiro
14,279543,co,Duvier Riascos,29, FW,180,77,5,2,424,1,-,2,-,2.3,63.8,-,2.6,6.51,0.3,0.3,2.6,0.1,0.3,-,0.1,-,0.3,0.9,0.1,1.1,2.1,0.3,13.4,63.8,0,0,Cruzeiro
15,279538,,Marciel,21, Midfielder,186,78,0,1,26,-,-,1,-,-,71.4,-,-,6.48,2,1,1,-,1,1,-,-,-,-,-,-,1,0,14,71.4,0,0,Cruzeiro
16,254714,br,Bruno Ramires,22, M(C),189,77,5,3,520,-,-,1,-,0.3,81.7,-,0.9,6.46,1.6,0.8,0.5,0.1,0.1,0.5,-,-,0.9,0.4,0.1,0.1,1.3,0.9,35.5,81.7,0.4,1.1,Cruzeiro
17,27490,br,Fábio,35, GK,190,93,10,0,900,-,-,2,-,-,57.1,-,0.2,6.42,0.1,-,0.1,-,1,-,-,-,-,-,-,-,0.1,0,22.4,57.1,0,4.2,Cruzeiro
18,281935,,Allano,21, AM(L),177,67,2,3,219,-,-,-,-,0.2,84.6,-,1,6.38,1,0.8,1.2,0.6,0.8,0.4,-,-,0.4,1.8,-,0.6,1.6,0.4,23.4,84.6,0.4,0.2,Cruzeiro
19,130963,br,Douglas Coutinho,22," AM(R),FW",183,71,0,5,157,1,-,1,-,1.2,72.4,-,0.2,6.32,0.2,0.4,0.4,-,0.6,-,-,-,0.2,0.4,0.2,0.2,0.8,0.2,5.8,72.4,0,0.2,Cruzeiro
20,317681,,Fabricio Bruno,20, Defender,192,90,2,2,196,-,-,1,-,-,91.2,-,0.5,6.29,0.5,1.3,-,0.8,2.3,-,-,-,0.3,-,-,-,-,0.3,25.5,91.2,0,1.8,Cruzeiro
21,101772,br,Willian,29," AM(LR),FW",171,78,5,4,474,-,-,1,-,1.9,85.9,-,0.4,6.28,0.3,0.3,0.8,-,0.1,0.1,-,-,0.8,1.6,0.3,0.6,2.4,0.8,17.3,85.9,0.3,0.7,Cruzeiro
22,125683,ar,Ariel Cabral,28, M(C),186,76,3,2,229,-,-,1,-,0.2,82.7,-,0.8,6.19,1,0.2,1.2,-,0.2,0.6,-,-,1,0.4,-,0.2,0.2,1,31.2,82.7,0,1.4,Cruzeiro
23,137417,br,Bruno Nazário,21, Midfielder,178,70,0,1,11,-,-,-,-,-,50,-,-,6.15,-,-,-,-,-,-,-,-,-,-,-,-,1,0,2,50,0,0,Cruzeiro
24,74584,br,Lucas,28, D(R),173,67,6,0,494,-,-,1,2,0.5,80.8,-,0.7,6.14,1.7,1.7,3.2,1,1.2,0.5,0.5,-,0.7,1,-,1.7,1.3,0.7,36.5,80.8,0.7,1.5,Cruzeiro
25,279565,br,Rafael Silva,25, AM(L),176,68,1,1,62,-,-,-,-,-,80,-,0.5,5.91,-,0.5,1,-,-,0.5,-,-,0.5,0.5,0.5,1,3.5,0.5,7.5,80,0,1,Cruzeiro
26,317682,,Alex Apolinário,19, Midfielder,182,80,1,1,83,-,-,-,-,0.5,83.3,-,0.5,5.85,-,0.5,0.5,-,-,0.5,-,-,-,-,-,3,0.5,0,12,83.3,0,0,Cruzeiro
