player_number,flag,name,age,position,tall,weight,full_time,half_time,mins,goals,asists,yel,red,spg,ps_x,motm,aw,rating,tackles,inter,fouls,offsides,clear,drb,blocks,owng,keyp,fouled,off,disp,unstch,avgp,ps_y,crosses,longb,thrb,team_name,league
29463,br,Willian,27, AM(CLR),175,75,32,3,2751,5,6,5,0.0,1.7,82.4,3,0.1,7.20,1.2,0.6,0.8,0,0.1,0.8,0,0.0,2.3,1.9,0.1,1.4,1.4,2.3,42.9,82.4,1.5,2.9,Chelsea,PremierLeague
8040,es,Cesc Fàbregas,29," M(CL),FW",175,74,33,4,2899,5,7,5,0.0,1.2,84,2,0.6,7.14,2.8,0.6,1,0,0.5,2,0.2,0.0,1.8,1.1,0.1,0.8,0.7,1.8,76.5,84,0.6,5,Chelsea,PremierLeague
33404,be,Eden Hazard,25, M(CLR),173,74,25,6,2192,4,3,2,0.0,1.2,86,5,0.4,7.11,0.7,0.4,0.5,0,0.1,0.5,0,0,2.1,2.3,0.3,1.5,1.7,2.1,45.7,86,0.3,2.4,Chelsea,PremierLeague
24248,es,Diego Costa,27, FW,188,85,27,1,2379,12,6,8,0.0,2.4,77.8,2,1.5,7.08,0.8,0.2,1.5,0,0.9,0.5,0.1,0,1.1,1.8,1.2,2.5,2.9,1.1,29.4,77.8,0,0.6,Chelsea,PremierLeague
44055,es,Pedro,28, AM(LR),167,62,24,5,2044,7,2,3,0.0,2,83.8,1,0.3,7.03,1.3,0.8,0.8,0,0.2,1,0,0.0,1.4,1.6,0.2,1.5,1.6,1.4,33.4,83.8,0.6,1.4,Chelsea,PremierLeague
25931,es,César Azpilicueta,26, D(LR),178,75,36,1,3202,2,3,7,0.0,0.3,81.7,1,1.2,7.03,3.1,2.3,1.1,0.1,2.8,0.8,0.4,0.0,0.6,0.5,0,0.1,0.6,0.6,48.6,81.7,0.3,2.8,Chelsea,PremierLeague
38128,rs,Nemanja Matic,27, DMC,194,84,28,5,2421,2,2,4,1,1,88.1,0,1.1,6.98,2.5,2,1.2,0,1.4,1,0.3,0.0,0.6,0.5,0.1,1.1,0.8,0.6,48.7,88.1,0.1,2.2,Chelsea,PremierLeague
15338,rs,Branislav Ivanovic,32, D(CR),185,91,33,0,2918,2,2,5,0,0.8,82.9,1,2.4,6.88,2,1.8,1,0.4,2.6,0.9,0.5,0.0,0.4,0.7,0,0.3,0.4,0.4,39.4,82.9,0.3,2.2,Chelsea,PremierLeague
106086,fr,Kurt Zouma,21, D(CR),190,92,21,2,1918,1,1,0,0,0.7,80.4,0,2.9,6.87,1.3,1.6,0.4,0.5,5.3,0.3,0.4,0.0,0,0.3,0.1,0.1,0.3,0,32,80.4,0,1.6,Chelsea,PremierLeague
41065,br,Oscar,24, AM(CLR),179,67,20,7,1775,3,3,4,0,1.9,81.1,2,0.4,6.86,2.3,0.5,0.7,0,0.8,1.3,0.1,0.0,1.1,1.3,0.1,1.1,1.3,1.1,38.5,81.1,0.4,2.3,Chelsea,PremierLeague
11981,gb,Gary Cahill,30, D(C),193,86,21,2,1955,2,1,2,0,0.6,83.6,0,3,6.81,1,1.6,0.7,0.8,4.9,0.3,1.5,1,0.1,0.9,0,0.2,0.3,0.1,33.6,83.6,0,1.3,Chelsea,PremierLeague
109807,bf,Bertrand Traore,20," AM(R),FW",177,72,4,6,374,2,1,0,0,1.7,83.1,0,0.4,6.77,0.9,0.2,0.3,0,0.3,0.6,0.1,0,0.5,0.4,0.5,0.4,1.5,0.5,13.6,83.1,0,0.1,Chelsea,PremierLeague
23122,ba,Asmir Begovic,29, GK,198,83,15,2,1397,0,0,0,0,0,47,0,0.4,6.76,0,0,0,0,1.1,0.1,0,0,0,0.2,0,0,0,0,19.8,47,0,4.8,Chelsea,PremierLeague
114845,gh,Baba Rahman,21, D(L),179,70,11,4,1017,0,1,1,0,0.4,83.7,0,0.5,6.75,3.1,1.5,0.9,0.1,2.1,1.3,0.3,0.0,0.2,0.3,0.1,1,0.5,0.2,35.1,83.7,0.3,1.2,Chelsea,PremierLeague
15464,ng,John Obi Mikel,29, DMC,188,83,19,6,1784,0,1,6,0,0.3,89.5,0,0.7,6.68,2.1,1.3,1.3,0.1,1.4,1.3,0.3,0.0,0.2,0.4,0,0.5,0.4,0.2,49.7,89.5,0,1.9,Chelsea,PremierLeague
73798,be,Thibaut Courtois,24, GK,199,91,23,0,2020,0,0,1,2,0,48.2,0,0.3,6.66,0,0,0.1,0,1.1,0,0,0,0,0,0,0,0,0,22.7,48.2,0,5.8,Chelsea,PremierLeague
132838,br,Kenedy,20, Forward,182,77,4,10,552,1,0,0,0,0.9,86.2,1,0.4,6.65,1,0.9,0.4,0,0.4,0.7,0,0.0,0.4,0.6,0.1,0.9,1.2,0.4,20.7,86.2,0.1,0.5,Chelsea,PremierLeague
23158,br,Alexandre Pato,26," M(LR),FW",179,71,1,1,131,1,0,0,0,2,88.9,0,0,6.62,1.5,0,1,0,0.5,0.5,0,0.0,0,1.5,1,2.5,1.5,0,13.5,88.9,0,0.5,Chelsea,PremierLeague
28191,br,Ramires,29, M(CR),180,70,7,5,608,2,0,1,0,0.8,79.6,0,0.8,6.57,1.9,1.2,1.8,0,0.7,1.7,0.1,0.0,0.1,1.3,0.1,1,0.5,0.1,25.8,79.6,0,1.4,Chelsea,PremierLeague
70,gb,John Terry,35, D(C),187,90,24,0,1991,1,0,2,2,0.4,89.8,0,2,6.55,0.9,1.6,0.4,0.5,3.7,0.3,0.8,1,0.1,0.2,0.1,0.1,0,0.1,38.5,89.8,0,1.3,Chelsea,PremierLeague
255777,gb,Ruben Loftus-Cheek,20, M(C),191,83,4,9,408,1,0,0,0,0.9,87.7,0,0.5,6.49,0.8,0.4,0.3,0,0.3,0.5,0,0,0.3,1.1,0.1,0.7,0.8,0.3,18.7,87.7,0,0.6,Chelsea,PremierLeague
44868,co,Juan Cuadrado,28," M(CLR),FW",178,71,0,1,26,0,0,0,0,1,100,0,0,6.36,0,1,0,0,1,0,0,0,0,2,0,0,0,0,9,100,0,1,Chelsea,PremierLeague
131999,us,Matt Miazga,20, D(C),191,84,2,0,136,0,0,1,0,0,80,0,3.5,6.35,1.5,1,0.5,0,4.5,0.5,0,0.0,0,1,0.5,0,0,0,45,80,0,1.5,Chelsea,PremierLeague
18701,co,Falcao,30, FW,177,72,1,9,228,1,0,1,0,1.1,75,0,1,6.27,0.2,0.3,0.7,0,0.1,0.2,0,0,0.2,0.5,0.2,0.5,0.6,0.2,8.4,75,0,0.2,Chelsea,PremierLeague
23054,fr,Loïc Remy,29," M(LR),FW",185,80,3,10,285,1,0,0,0,1,84.2,0,0.5,6.26,0,0.1,0.1,0,0.3,0,0,0,0.3,0.5,0.4,0.5,0.8,0.3,7.8,84.2,0,0.2,Chelsea,PremierLeague
312919,gb,Jake Clarke-Salter,18, Defender,188,0,0,1,16,0,0,0,0,0,100,0,0,6.20,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,6,100,0,0,Chelsea,PremierLeague
317507,ca,Fikayo Tomori,18, Defender,0,0,0,1,31,0,0,0,0,0,84.6,0,0,6.19,1,0,0,0,3,0,0,0.0,0,0,0,0,0,0,13,84.6,0,1,Chelsea,PremierLeague
317506,gb,Tammy Abraham,18, Forward,0,0,0,2,53,0,0,0,0,1,70,0,0.5,5.96,0,0,1,0,0,0.5,0,0,0,0,1.5,1.5,0.5,0,5,70,0,0,Chelsea,PremierLeague
